"role","degree_order","avg_ordered_degree"
"Manufacturer",1,44.7
"Manufacturer",2,39.65
"Manufacturer",3,38.2
"Manufacturer",4,36.7
"Manufacturer",5,35
"Manufacturer",6,33.5
"Manufacturer",7,32.6
"Manufacturer",8,31.45
"Manufacturer",9,30.35
"Manufacturer",10,29.55
"Manufacturer",11,28.65
"Manufacturer",12,27.5
"Manufacturer",13,26.75
"Manufacturer",14,25.9
"Manufacturer",15,25.05
"Manufacturer",16,24.05
"Manufacturer",17,23.55
"Manufacturer",18,22.6
"Manufacturer",19,22.05
"Manufacturer",20,21.2
"Manufacturer",21,20.5
"Manufacturer",22,19.85
"Manufacturer",23,19.3
"Manufacturer",24,19.05
"Manufacturer",25,18.15
"Manufacturer",26,17.4
"Manufacturer",27,16.95
"Manufacturer",28,16.2
"Manufacturer",29,15.65
"Manufacturer",30,15.15
"Manufacturer",31,14.4
"Manufacturer",32,13.35
"Manufacturer",33,11.2
"Retailer",1,25.3
"Retailer",2,21.2
"Retailer",3,20.15
"Retailer",4,18.9
"Retailer",5,17.9
"Retailer",6,16.5
"Retailer",7,15.6
"Retailer",8,14.95
"Retailer",9,14.1
"Retailer",10,13.6
"Retailer",11,13.3
"Retailer",12,12.95
"Retailer",13,12.55
"Retailer",14,12.25
"Retailer",15,11.75
"Retailer",16,11.45
"Retailer",17,11.35
"Retailer",18,11.15
"Retailer",19,10.9
"Retailer",20,10.55
"Retailer",21,10.4
"Retailer",22,10.1
"Retailer",23,9.7
"Retailer",24,9.4
"Retailer",25,9.3
"Retailer",26,8.95
"Retailer",27,8.65
"Retailer",28,8.25
"Retailer",29,7.9
"Retailer",30,7.65
"Retailer",31,7.3
"Retailer",32,6.45
"Retailer",33,5.95
"Retailer",34,5.1
"Supplier",1,24.85
"Supplier",2,21.7
"Supplier",3,20.2
"Supplier",4,19.05
"Supplier",5,17.95
"Supplier",6,16.8
"Supplier",7,16.25
"Supplier",8,15.25
"Supplier",9,14.5
"Supplier",10,13.8
"Supplier",11,13.2
"Supplier",12,12.75
"Supplier",13,12.5
"Supplier",14,12.1
"Supplier",15,11.85
"Supplier",16,11.6
"Supplier",17,11.35
"Supplier",18,10.85
"Supplier",19,10.6
"Supplier",20,10.35
"Supplier",21,9.95
"Supplier",22,9.7
"Supplier",23,9.55
"Supplier",24,9.2
"Supplier",25,9
"Supplier",26,8.7
"Supplier",27,8.4
"Supplier",28,8.25
"Supplier",29,7.85
"Supplier",30,7.55
"Supplier",31,6.85
"Supplier",32,6.55
"Supplier",33,5.6
