"role","degree_order","avg_ordered_degree"
"Manufacturer",1,35.85
"Manufacturer",2,31.7
"Manufacturer",3,29.65
"Manufacturer",4,27.6
"Manufacturer",5,26.1
"Manufacturer",6,24.75
"Manufacturer",7,23.75
"Manufacturer",8,22.6
"Manufacturer",9,21.8
"Manufacturer",10,20.95
"Manufacturer",11,19.75
"Manufacturer",12,18.7
"Manufacturer",13,17.4
"Manufacturer",14,16.4
"Manufacturer",15,15.2
"Manufacturer",16,14.2
"Manufacturer",17,13.3
"Manufacturer",18,12.4
"Manufacturer",19,11.75
"Manufacturer",20,11.25
"Manufacturer",21,10.9
"Manufacturer",22,10.55
"Manufacturer",23,10
"Manufacturer",24,9.5
"Manufacturer",25,8.95
"Manufacturer",26,8.6
"Manufacturer",27,8.15
"Manufacturer",28,7.85
"Manufacturer",29,7.35
"Manufacturer",30,7.05
"Manufacturer",31,6.25
"Manufacturer",32,5.5
"Manufacturer",33,4.8
"Retailer",1,35.95
"Retailer",2,32.25
"Retailer",3,29.85
"Retailer",4,28.15
"Retailer",5,26.9
"Retailer",6,25.4
"Retailer",7,24.3
"Retailer",8,23.35
"Retailer",9,22.55
"Retailer",10,21.4
"Retailer",11,20.5
"Retailer",12,19.45
"Retailer",13,18.45
"Retailer",14,17.6
"Retailer",15,17.2
"Retailer",16,16.5
"Retailer",17,16
"Retailer",18,15.05
"Retailer",19,14
"Retailer",20,13.55
"Retailer",21,13.1
"Retailer",22,12.6
"Retailer",23,12.1
"Retailer",24,11.6
"Retailer",25,11.3
"Retailer",26,10.95
"Retailer",27,10.4
"Retailer",28,10
"Retailer",29,9.6
"Retailer",30,9.15
"Retailer",31,8.75
"Retailer",32,8.05
"Retailer",33,7.15
"Retailer",34,6.15
"Supplier",1,27.35
"Supplier",2,21
"Supplier",3,18.65
"Supplier",4,17.35
"Supplier",5,16.15
"Supplier",6,15.4
"Supplier",7,14.9
"Supplier",8,14.15
"Supplier",9,13.65
"Supplier",10,13.2
"Supplier",11,12.95
"Supplier",12,12.65
"Supplier",13,12.4
"Supplier",14,12.2
"Supplier",15,11.8
"Supplier",16,11.55
"Supplier",17,11.55
"Supplier",18,11.3
"Supplier",19,10.75
"Supplier",20,10.6
"Supplier",21,10.5
"Supplier",22,10.2
"Supplier",23,9.9
"Supplier",24,9.75
"Supplier",25,9.3
"Supplier",26,9.15
"Supplier",27,8.8
"Supplier",28,8.55
"Supplier",29,8.2
"Supplier",30,7.65
"Supplier",31,7.1
"Supplier",32,6.2
"Supplier",33,5.5
