"role","degree_order","avg_ordered_degree"
"Manufacturer",1,27.2
"Manufacturer",2,23.7
"Manufacturer",3,20.9
"Manufacturer",4,19.85
"Manufacturer",5,18.2
"Manufacturer",6,17.2
"Manufacturer",7,15.65
"Manufacturer",8,13.95
"Manufacturer",9,12.4
"Manufacturer",10,10.5
"Manufacturer",11,8.85
"Manufacturer",12,7.1
"Manufacturer",13,6.05
"Manufacturer",14,5.3
"Manufacturer",15,4.3
"Manufacturer",16,4
"Manufacturer",17,4
"Manufacturer",18,4
"Manufacturer",19,4
"Manufacturer",20,4
"Manufacturer",21,4
"Manufacturer",22,4
"Manufacturer",23,4
"Manufacturer",24,4
"Manufacturer",25,4
"Manufacturer",26,4
"Manufacturer",27,4
"Manufacturer",28,4
"Manufacturer",29,3.75
"Manufacturer",30,3.15
"Manufacturer",31,2.6
"Manufacturer",32,1.55
"Manufacturer",33,0.35
"Retailer",1,27.45
"Retailer",2,24.35
"Retailer",3,22.2
"Retailer",4,20.25
"Retailer",5,19
"Retailer",6,16.95
"Retailer",7,16
"Retailer",8,15
"Retailer",9,14.1
"Retailer",10,13.05
"Retailer",11,12
"Retailer",12,10.5
"Retailer",13,9.45
"Retailer",14,8.55
"Retailer",15,7.6
"Retailer",16,7.05
"Retailer",17,6.6
"Retailer",18,6.05
"Retailer",19,5.65
"Retailer",20,5.3
"Retailer",21,5.1
"Retailer",22,4.8
"Retailer",23,4.5
"Retailer",24,4.15
"Retailer",25,4.05
"Retailer",26,4.05
"Retailer",27,3.95
"Retailer",28,3.95
"Retailer",29,3.45
"Retailer",30,3.05
"Retailer",31,2.6
"Retailer",32,1.85
"Retailer",33,0.7
"Retailer",34,0.15
"Supplier",1,26
"Supplier",2,18
"Supplier",3,15
"Supplier",4,13
"Supplier",5,11
"Supplier",6,10
"Supplier",7,10
"Supplier",8,9
"Supplier",9,9
"Supplier",10,8
"Supplier",11,8
"Supplier",12,7
"Supplier",13,7
"Supplier",14,7
"Supplier",15,7
"Supplier",16,6
"Supplier",17,6
"Supplier",18,6
"Supplier",19,6
"Supplier",20,6
"Supplier",21,6
"Supplier",22,5
"Supplier",23,5
"Supplier",24,5
"Supplier",25,5
"Supplier",26,5
"Supplier",27,5
"Supplier",28,5
"Supplier",29,5
"Supplier",30,5
"Supplier",31,5
"Supplier",32,5
"Supplier",33,4
